filepath,expected_verdict,cohort,notes
tests/evaluation_dataset/1_benign_standard/sentineltreecover_vars.tfvars,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/sierradb_cluster.kdl,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/socketsream.gitconfig,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/springbootmicroservicesseries.Dockerfile,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/stanza_config.yaml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/streamingsystem_config.json,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/touchstonejs_starter_config.xml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/trussexamples_config.yaml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/userland_arm.yml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/utymap.travis.yml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/vuetify-jsonschema-form_zellij.kdl,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/worldcurrencies_mkd.json5,PASS,benign,Kontrol negatif — ukur False Positive
